[aten::empty] 总耗时: 947737.05 ms | 出现次数: 289951 | 平均耗时: 3.27 ms
[aten::sort] 总耗时: 632573.56 ms | 出现次数: 2002 | 平均耗时: 315.97 ms
[aten::unbind] 总耗时: 586112.72 ms | 出现次数: 94094 | 平均耗时: 6.23 ms
[aten::empty_like] 总耗时: 518235.30 ms | 出现次数: 96378 | 平均耗时: 5.38 ms
[aten::linear] 总耗时: 505813.29 ms | 出现次数: 1001 | 平均耗时: 505.31 ms
[aten::mm] 总耗时: 502614.66 ms | 出现次数: 1095 | 平均耗时: 459.01 ms
[aten::matmul] 总耗时: 497658.69 ms | 出现次数: 1001 | 平均耗时: 497.16 ms
[aten::empty_strided] 总耗时: 445027.80 ms | 出现次数: 99570 | 平均耗时: 4.47 ms
[aten::expand] 总耗时: 416603.20 ms | 出现次数: 282282 | 平均耗时: 1.48 ms
[aten::select] 总耗时: 372099.24 ms | 出现次数: 190190 | 平均耗时: 1.96 ms
[aten::as_strided] 总耗时: 304962.32 ms | 出现次数: 699515 | 平均耗时: 0.44 ms
[aten::slice] 总耗时: 290740.14 ms | 出现次数: 217846 | 平均耗时: 1.33 ms
[aten::index] 总耗时: 72161.77 ms | 出现次数: 1095 | 平均耗时: 65.90 ms
[aten::fill_] 总耗时: 64800.12 ms | 出现次数: 5287 | 平均耗时: 12.26 ms
[aten::reshape] 总耗时: 44758.04 ms | 出现次数: 3097 | 平均耗时: 14.45 ms
[aten::sub] 总耗时: 43129.12 ms | 出现次数: 2002 | 平均耗时: 21.54 ms
[aten::scatter] 总耗时: 38520.71 ms | 出现次数: 1001 | 平均耗时: 38.48 ms
[aten::clone] 总耗时: 32592.37 ms | 出现次数: 1000 | 平均耗时: 32.59 ms
[aten::argmax] 总耗时: 29098.97 ms | 出现次数: 1001 | 平均耗时: 29.07 ms
[aten::softmax] 总耗时: 28241.05 ms | 出现次数: 2002 | 平均耗时: 14.11 ms
[aten::div_] 总耗时: 27203.19 ms | 出现次数: 2002 | 平均耗时: 13.59 ms
[aten::rsub] 总耗时: 24018.51 ms | 出现次数: 1001 | 平均耗时: 23.99 ms
[aten::_softmax] 总耗时: 23139.44 ms | 出现次数: 2002 | 平均耗时: 11.56 ms
[aten::exponential_] 总耗时: 17607.15 ms | 出现次数: 1001 | 平均耗时: 17.59 ms
[aten::le] 总耗时: 16538.91 ms | 出现次数: 1001 | 平均耗时: 16.52 ms
